Comment,Designator,Footprint,LCSC
"1uF","C1,C2,C12,C15","Capacitor_SMD:C_0402_1005Metric","C52923"
"100nF","C3,C6,C7,C8,C9,C10,C11,C13,C14","Capacitor_SMD:C_0402_1005Metric","C307331"
"27pF","C4,C5","Capacitor_SMD:C_0402_1005Metric","C1557"
"d","D1,D2,D3,D4,D5,D6","Diode_SMD:D_0402_1005Metric","C191023"
"500mA","F1","Fuse:Fuse_1206_3216Metric","C355568"
"USB_C_Receptacle_USB2.0","J1","marbastlib-various:USB_C_Receptacle_HRO_TYPE-C-31-M-14","C223907"
"Pico Ezmate","J2,J3,J4,J5","Connector_Molex:Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical",""
"5.1k","R1,R2","Resistor_SMD:R_0402_1005Metric","C103086"
"1k","R3,R4","Resistor_SMD:R_0402_1005Metric","C11702"
"27.4","R5,R6","Resistor_SMD:R_0402_1005Metric","C31439"
"EC11E18244A5","SW1,SW2","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","C255515"
"MX_SW_HS","SW3,SW4,SW5,SW6","marbastlib-mx:SW_MX_HS_1u",""
"SW_Push","SW7","random-keyboard-parts:SKQG-1155865","C388858"
"RP2040","U1","Footprints:RP2040-QFN-56","C2040"
"SRV05-4","U2","marbastlib-various:SOT-23-6-routable","C85364"
"XC6206","U3","Package_TO_SOT_SMD:SOT-23-3","C5446"
"W25Q128JVS","U4","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"12MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"